Id,Questionário: SIMULADO - PROVA 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: SIMULADO - EXAME - responder até dia 16 de julho (Real),Questionário: QUIZ - 1.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.2 E 1.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.4 E 1.5 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.6 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.3 e 3.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.5 e 3.6 - VALE PRESENÇA!!! (Real),Questionário: Simulado Prova2 - ERRO (só considerar os 8 alunos que fizeram) (Real),Questionário: QUIZ - 1.7 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - PRÉ-PROVA - VALE PRESENÇA!!! (Real),Total do curso (Real)
101,7,-,-,-,8.13,-,-,1,-,1,-,-,-,1,-,-,-,-,2,62.89
102,8,8,10,9,10,2,10,3,2,2,0,2,0,-,1,0,-,1,3,81.61
103,9,9,10,-,9.38,0,3.33,2,1,0,0,0,0,2,1,1,-,3,3,67.14
104,6,9,9,5,10,2,3.33,-,0,1,0,0,-,0,0,0,-,1,2,56.2
105,6,8,10,-,10,3,0,0,0,0,0,0,0,2,2,2,-,2,1,57.5
106,10,10,9,-,7.5,3,3.33,-,-,0,0,1,1,1,0,0,-,2,3,68.69
107,9,-,-,-,-,-,-,1,-,0,-,1,0,-,-,-,-,0,-,47.83
108,5,8,9,-,10,2,3.33,2,-,2,1,3,-,3,2,2,-,2,3,75.44
109,10,10,10,-,9.38,3,10,2,2,1,0,2,0,1,2,2,-,2,3,86.72
110,7,9,9,-,9.38,2,10,3,3,2,1,0,0,-,0,0,-,2,-,77.53
111,8,8,10,-,10,3,10,1,2,3,1,2,1,2,2,2,-,3,3,88.75
112,7,9,6,-,8.75,3,6.67,2,-,0,1,0,0,-,1,0,-,2,2,65.43
113,8,-,-,8,9.38,-,3.33,1,0,-,1,-,0,0,0,1,-,2,3,60.18
114,4,4,-,-,6.88,0,0,0,-,-,0,2,-,2,0,-,-,0,1,32.58
115,-,-,-,-,6.88,1,0,1,-,-,-,-,-,-,-,-,-,-,-,34.13
116,10,9,8,-,10,3,10,3,2,1,1,3,0,3,2,-,-,2,1,87.18
117,9,9,9,-,8.13,3,3.33,0,1,2,1,0,0,0,0,0,-,-,3,62.93
118,-,-,-,-,6.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.75
119,8,6,7,8,10,1,3.33,3,2,1,1,1,-,0,-,0,-,3,2,64.75
120,9,10,9,-,9.38,3,3.33,2,-,1,1,3,0,0,0,1,-,0,2,69.75
121,9,9,8,-,10,3,6.67,1,0,0,1,1,-,1,1,-,-,1,2,69.7
122,10,10,9,-,6.25,2,6.67,2,3,2,1,3,1,1,1,1,-,3,3,81.15
123,9,7,10,-,10,3,10,2,3,2,1,3,1,2,2,1,-,0,2,85
124,7,10,9,-,10,3,6.67,-,1,1,0,-,0,-,-,0,-,2,2,74.88
125,2,-,-,3,8.13,3,0,1,2,1,0,1,0,-,1,1,-,-,-,37.91
126,5,8,-,-,-,2,6.67,2,-,0,0,2,0,2,0,2,-,2,-,58.64
127,3,2,9,-,9.38,3,0,1,2,0,0,1,0,1,1,0,-,1,1,42.97
128,9,-,8,-,8.13,-,10,-,2,1,1,-,0,3,0,-,-,1,2,76.48
