Id,Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Total do curso (Real)
11,10,10,10,7.5,10,6.67,3.33,0,10,0,7.5,5.5,6.71,-,7.05,7.05,1,2.31,3.31,1,2.3,3.3,4.55,5.42,1,6,7,6.37,6.37
12,-,-,-,-,-,-,-,-,-,-,-,-,0,0.5,0.25,0.75,-,-,0,-,-,0,0.25,0.15,-,-,-,0.06,0.15
13,10,5,6.67,10,10,10,10,10,10,10,10,9,9.22,1,5.45,6.45,0.7,3.15,3.85,1,8.6,9.6,6.63,7.67,-,-,-,3.07,7.67
14,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,7.3,8.2,1,6.67,7.67,1,8.4,9.4,8.42,8.97,-,-,-,3.59,8.97
15,10,10,10,10,10,8.33,10,7.78,10,6.33,8.33,10,9.23,0.9,9.8,10,1,8.06,9.06,1,6.3,7.3,8.79,8.96,-,-,-,3.59,8.96
16,-,-,-,-,-,-,-,-,-,-,-,-,0,0.9,3.55,4.45,-,-,0,-,-,0,1.48,0.89,-,-,-,0.36,0.89
17,9.17,10,6.67,7.5,5,10,10,8.89,10,6,8.33,3,7.88,0.7,5.95,6.65,0.5,2.87,3.37,1,4.95,5.95,5.32,6.35,-,-,-,2.54,6.35
18,10,5,-,2.5,0,6.67,10,10,10,5.33,7.5,10,6.42,-,5.55,5.55,0.3,4.17,4.47,-,7.1,7.1,5.71,5.99,-,-,-,2.4,5.99
19,8.96,10,10,6.25,10,10,8.33,10,10,8.33,9.17,6,8.92,0.6,7.05,7.65,0.5,5.09,5.59,0.8,7.3,8.1,7.11,7.84,-,-,-,3.13,7.84
20,-,-,3.33,5,5,3.33,6.67,0,10,0,-,2,2.94,0.7,5.3,6,0.4,0.65,1.05,-,-,0,2.35,2.59,-,-,-,1.03,2.59
21,10,10,6.67,10,10,8.33,10,10,10,9,6.67,9,9.14,1,8.6,9.6,0.9,6.76,7.66,1,9,10,9.09,9.11,-,-,-,3.64,9.11
22,10,5,-,10,10,6.67,6.67,3.33,10,5,6.67,7,6.69,0.8,7.15,7.95,1,2.41,3.41,1,6.7,7.7,6.35,6.49,-,-,-,2.6,6.49
